animal_id,source
1,d19515s40i5
2,d19460s14i3
3,d19492s3i31
4,d17682s66i23
4,d17682s46i37
4,d17682s46i35
4,d16986s21i93
5,d16982s30i3
4,d16907s5i35
1,d18502s152i2
3,d19515s61i19
1,d19515s22i10
4,d19659s2i4
6,d19658s62i5
3,d19658s54i25
7,d19657s117i3
3,d19655s13i11
8,d19612s35i1
7,d19612s23i1
9,d19611s30i3
6,d19610s19i2
10,d19610s156i1
11,d19519s9i7
12,d19515s111i9
12,d19515s108i5
1,d19515s1i19
3,d19492s3i25
3,d19492s3i26
3,d19492s3i27
3,d19492s3i28
3,d19492s3i29
3,d19492s3i30
3,d19492s3i32
3,d19492s3i33
3,d19492s3i34
3,d19492s3i35
3,d19492s3i36
3,d19492s3i37
3,d19492s3i38
3,d19492s3i39
3,d19492s3i40
3,d19492s3i41
3,d19492s3i42
3,d19492s3i43
3,d19492s3i44
3,d19492s3i45
3,d19492s3i46
3,d19492s3i47
3,d19492s3i49
3,d19492s3i50
3,d19492s3i51
3,d19492s3i52
3,d19492s3i53
3,d19492s3i54
7,d19492s14i7
7,d19492s14i9
7,d19492s14i10
7,d19492s14i11
7,d19492s14i12
7,d19492s14i13
7,d19492s14i14
7,d19492s14i15
7,d19492s14i16
7,d19492s14i17
7,d19492s14i18
7,d19492s14i19
7,d19492s14i1
7,d19492s14i3
7,d19492s14i5
3,d19492s11i63
3,d19492s11i64
3,d19492s11i65
3,d19492s11i66
3,d19492s11i67
3,d19492s11i68
3,d19492s11i69
3,d19492s11i70
3,d19492s11i71
3,d19492s11i72
3,d19492s11i73
3,d19492s11i74
3,d19492s11i76
3,d19492s11i77
3,d19492s11i78
3,d19492s11i79
3,d19492s11i80
3,d19492s11i81
3,d19492s11i82
3,d19492s11i83
3,d19492s11i84
3,d19492s11i85
3,d19492s11i86
3,d19492s11i87
3,d19492s11i89
3,d19492s11i90
3,d19492s11i91
3,d19492s11i92
3,d19492s11i93
3,d19492s11i100
3,d19492s11i49
3,d19492s11i50
3,d19492s11i51
3,d19492s11i52
3,d19492s11i53
3,d19492s11i54
3,d19492s11i55
3,d19492s11i58
3,d19492s11i60
3,d19492s11i61
3,d19492s11i62
3,d19492s11i1
3,d19492s11i2
3,d19492s11i3
3,d19492s11i4
3,d19492s11i5
3,d19492s11i6
3,d19492s11i8
3,d19492s11i10
3,d19492s11i11
3,d19492s11i12
3,d19492s11i13
3,d19492s11i14
3,d19492s11i15
3,d19492s11i16
3,d19492s11i17
3,d19492s11i18
3,d19492s11i20
3,d19492s11i21
3,d19492s11i22
3,d19492s11i23
3,d19492s11i24
3,d19492s11i25
3,d19492s11i26
3,d19492s11i27
3,d19492s11i28
3,d19492s11i29
3,d19492s11i30
3,d19492s11i31
3,d19492s11i32
3,d19492s11i33
3,d19492s11i34
3,d19492s11i35
3,d19492s11i37
3,d19492s11i38
3,d19492s11i39
3,d19492s11i40
3,d19492s11i41
3,d19492s11i42
3,d19492s11i43
3,d19492s11i44
3,d19492s11i45
3,d19492s11i46
3,d19492s11i47
3,d19492s11i48
2,d19471s3i1
13,d19466s42i1
14,d19466s31i2
14,d19466s25i3
2,d19464s9i2
2,d19464s7i1
2,d19464s7i3
15,d19464s3i3
2,d19464s10i1
16,d19455s9i3
16,d19455s8i1
16,d19455s7i3
16,d19455s7i2
1,d19400s18i1
17,d19330s4i28
3,d18118s5i10
4,d18117s4i1
4,d18117s4i5
4,d18117s4i9
4,d18117s4i15
1,4208s18i9
7,3997s63i8
1,d18502s97i1
3,d18502s76i1
3,d18502s60i9
18,d19571s13i3
19,d18947s47i1
20,d18946s94i1
19,d18946s40i1
21,d18943s35i5
22,d18943s16i5
23,d18943s10i16
19,d18943s1i4
24,d18886s9i5
3,d18506s249i1
3,d18506s20i5
3,d18506s183i23
3,d18506s183i32
3,d18506s183i33
3,d18506s183i34
1,d18506s142i2
1,d18506s142i11
2,d19462s4i3
2,d19462s4i1
1,d19435s18i2
3,d19427s14i3
3,d16089s5i57
3,d16089s27i19
25,d16087s1i5
19,d18941s25i1
23,d18941s23i1
26,d19414s8i1
3,d19407s2i1
3,d19406s11i1
1,d19405s51i1
1,d19038s6i15
1,d19038s6i5
7,d19026s16i25
18,d19513s6i2
27,d18311s4i4
17,d19507s67i25
3,d19506s40i2
28,d18772s55i5
7,d19031s149i10
28,d19031s108i2
28,d19031s24i1
3,d18772s30i8
3,d18772s30i9
